emoji,unicode,name_en,name_id,alias,emoji_clean,has_skin_tone,category,aliases
🕴🏼,🕴🏼,person_in_suit_levitating_medium-light_skin_tone,pria_melayang_mengenakan_jas_warna_kulit_cerah-sedang,pria_melayang_mengenakan_jas_warna_kulit_cerah-sedang_bisnis_laki-laki,\U0001f574\U0001f3fc,True,person_in_suit_levitating,"['pria', 'melayang', 'mengenakan', 'jas', 'warna', 'kulit', 'cerah-sedang', 'bisnis', 'laki-laki']"
🕴🏽,🕴🏽,person_in_suit_levitating_medium_skin_tone,pria_melayang_mengenakan_jas_warna_kulit_sedang,pria_melayang_mengenakan_jas_warna_kulit_sedang_bisnis_laki-laki,\U0001f574\U0001f3fd,True,person_in_suit_levitating_medium_skin,"['pria', 'melayang', 'mengenakan', 'jas', 'warna', 'kulit', 'sedang', 'bisnis', 'laki-laki']"
🕴🏾,🕴🏾,person_in_suit_levitating_medium-dark_skin_tone,pria_melayang_mengenakan_jas_warna_kulit_gelap-sedang,pria_melayang_mengenakan_jas_warna_kulit_gelap-sedang_bisnis_laki-laki,\U0001f574\U0001f3fe,True,person_in_suit_levitating,"['pria', 'melayang', 'mengenakan', 'jas', 'warna', 'kulit', 'gelap-sedang', 'bisnis', 'laki-laki']"
🕴🏿,🕴🏿,person_in_suit_levitating_dark_skin_tone,pria_melayang_mengenakan_jas_warna_kulit_gelap,pria_melayang_mengenakan_jas_warna_kulit_gelap_bisnis_laki-laki,\U0001f574\U0001f3ff,True,person_in_suit_levitating_dark_skin,"['pria', 'melayang', 'mengenakan', 'jas', 'warna', 'kulit', 'gelap', 'bisnis', 'laki-laki']"
🧖🏻,🧖🏻,person_in_steamy_room_light_skin_tone,orang_di_ruangan_beruap_warna_kulit_cerah,orang_di_ruangan_beruap_warna_kulit_cerah_ruang_uap_sauna,\U0001f9d6\U0001f3fb,True,person_in_steamy_room_light_skin,"['orang', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'cerah', 'ruang', 'uap', 'sauna']"
🧖🏼,🧖🏼,person_in_steamy_room_medium-light_skin_tone,orang_di_ruangan_beruap_warna_kulit_cerah-sedang,orang_di_ruangan_beruap_warna_kulit_cerah-sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fc,True,person_in_steamy_room,"['orang', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'cerah-sedang', 'ruang', 'uap', 'sauna']"
🧖🏽,🧖🏽,person_in_steamy_room_medium_skin_tone,orang_di_ruangan_beruap_warna_kulit_sedang,orang_di_ruangan_beruap_warna_kulit_sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fd,True,person_in_steamy_room_medium_skin,"['orang', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'sedang', 'ruang', 'uap', 'sauna']"
🧖🏾,🧖🏾,person_in_steamy_room_medium-dark_skin_tone,orang_di_ruangan_beruap_warna_kulit_gelap-sedang,orang_di_ruangan_beruap_warna_kulit_gelap-sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fe,True,person_in_steamy_room,"['orang', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'gelap-sedang', 'ruang', 'uap', 'sauna']"
🧖🏿,🧖🏿,person_in_steamy_room_dark_skin_tone,orang_di_ruangan_beruap_warna_kulit_gelap,orang_di_ruangan_beruap_warna_kulit_gelap_ruang_uap_sauna,\U0001f9d6\U0001f3ff,True,person_in_steamy_room_dark_skin,"['orang', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'gelap', 'ruang', 'uap', 'sauna']"
🧖🏻‍♂️,🧖🏻‍♂️,man_in_steamy_room_light_skin_tone,pria_di_ruangan_beruap_warna_kulit_cerah,pria_di_ruangan_beruap_warna_kulit_cerah_ruang_uap_sauna,\U0001f9d6\U0001f3fb\u200d\u2642\ufe0f,True,man_in_steamy_room_light_skin,"['pria', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'cerah', 'ruang', 'uap', 'sauna']"
🧖🏼‍♂️,🧖🏼‍♂️,man_in_steamy_room_medium-light_skin_tone,pria_di_ruangan_beruap_warna_kulit_cerah-sedang,pria_di_ruangan_beruap_warna_kulit_cerah-sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fc\u200d\u2642\ufe0f,True,man_in_steamy_room,"['pria', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'cerah-sedang', 'ruang', 'uap', 'sauna']"
🧖🏽‍♂️,🧖🏽‍♂️,man_in_steamy_room_medium_skin_tone,pria_di_ruangan_beruap_warna_kulit_sedang,pria_di_ruangan_beruap_warna_kulit_sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fd\u200d\u2642\ufe0f,True,man_in_steamy_room_medium_skin,"['pria', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'sedang', 'ruang', 'uap', 'sauna']"
🧖🏾‍♂️,🧖🏾‍♂️,man_in_steamy_room_medium-dark_skin_tone,pria_di_ruangan_beruap_warna_kulit_gelap-sedang,pria_di_ruangan_beruap_warna_kulit_gelap-sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fe\u200d\u2642\ufe0f,True,man_in_steamy_room,"['pria', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'gelap-sedang', 'ruang', 'uap', 'sauna']"
🧖🏿‍♂️,🧖🏿‍♂️,man_in_steamy_room_dark_skin_tone,pria_di_ruangan_beruap_warna_kulit_gelap,pria_di_ruangan_beruap_warna_kulit_gelap_ruang_uap_sauna,\U0001f9d6\U0001f3ff\u200d\u2642\ufe0f,True,man_in_steamy_room_dark_skin,"['pria', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'gelap', 'ruang', 'uap', 'sauna']"
🧖🏻‍♀️,🧖🏻‍♀️,woman_in_steamy_room_light_skin_tone,wanita_di_ruangan_beruap_warna_kulit_cerah,wanita_di_ruangan_beruap_warna_kulit_cerah_ruang_uap_sauna,\U0001f9d6\U0001f3fb\u200d\u2640\ufe0f,True,woman_in_steamy_room_light_skin,"['wanita', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'cerah', 'ruang', 'uap', 'sauna']"
🧖🏼‍♀️,🧖🏼‍♀️,woman_in_steamy_room_medium-light_skin_tone,wanita_di_ruangan_beruap_warna_kulit_cerah-sedang,wanita_di_ruangan_beruap_warna_kulit_cerah-sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fc\u200d\u2640\ufe0f,True,woman_in_steamy_room,"['wanita', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'cerah-sedang', 'ruang', 'uap', 'sauna']"
🧖🏽‍♀️,🧖🏽‍♀️,woman_in_steamy_room_medium_skin_tone,wanita_di_ruangan_beruap_warna_kulit_sedang,wanita_di_ruangan_beruap_warna_kulit_sedang_ruang_uap_sauna,\U0001f9d6\U0001f3fd\u200d\u2640\ufe0f,True,woman_in_steamy_room_medium_skin,"['wanita', 'di', 'ruangan', 'beruap', 'warna', 'kulit', 'sedang', 'ruang', 'uap', 'sauna']"
